env,lat,lon,start,end,alt,yield,cou
Mpale (Dowa 2)_PYX_18_1,-13.418617,33.614767,2018-07-19,2019-01-22,1104,1662.53,MWI
Kasungu_PYX_21_1,-12.93595,33.458267,2021-06-18,2021-12-28,1006,2878.527667,MWI
Uyole_TAR_20_1,-8.920555,33.523613,2020-03-10,2020-09-22,1795,808.9383333,TZA
Mpale_PYX_19_1,-13.25084,33.36922,2019-06-25,2020-01-11,1083,2113.998165,MWI
Mpale (Dowa 1)_PYX_18_1,-13.418617,33.614767,2018-07-05,2019-01-22,1104,1486.363291,MWI
Kiambu_SFS_19_1,-1.086444,36.81778,2019-08-30,2020-03-24,1774,1827.817778,KEN
Harare_CBI_22_2,-17.809,31.053,2022-11-21,2023-06-26,1504,2116.604494,ZWE
Chilanga_PYX_19_1,-12.56268,33.27735,2019-06-25,2020-01-31,1006,1557.658559,MWI
Dowa_PYX_21_1,-13.402617,33.629067,2021-06-18,2022-01-29,1105,2859.75775,MWI
KALRO Njoro_KAL_21_1,-0.34411,35.943,2021-05-21,2022-01-01,2167,2004.618519,KEN
Metu_JEI_20_1,8.316667,35.583333,2020-06-12,2021-02-02,1829,1310.640778,ETH
KALRO Njoro_KAL_19_1,-0.34288083,35.94434738,2019-07-03,2020-03-05,2162,2221.391111,KEN
Jimma_JEI_20_1,7.5,36.5,2020-06-05,2021-02-07,1572,1541.768778,ETH
KALRO Njoro_KAL_22_1,-0.34427,35.94295,2022-06-14,2023-02-24,2166,1462.568,KEN
KALRO Njoro_KAL_20_1,-0.344108,35.943003,2020-05-28,2021-02-26,2167,1073.477778,KEN
Kigumba_AGI_20_2,1.8424,32.021228,2020-09-06,2021-12-16,1070,1223.879725,UGA
